parameter,# layers,End domain spine,Radius,# edges,# div points,layers power,Random range,Factor1,Scale Y1,Factor2,Scale Y2,Factor3,Scale Y3,Index of circle,Points div count,End domain (noisiness),Wide,# of clusters,Texture Random Range
type,integer,float,float,integer,integer,integer,float,float,float,float,float,float,float,integer,integer,float,float,integer,float
domain,"[20, 200]","[0.001, 1.000]","[1.000, 10.000]","[3, 30]","[5, 100]","[2, 100]","[0.000, 0.500]","[0.00, 10.00]","[0.00, 10.00]","[0.00, 10.00]","[0.00, 10.00]","[0.00, 10.00]","[0.00, 10.00]","[0, 50]","[2, 60]","[0.00, 3.00]","[0.00, 3.00]","[1, 100]","[0.000, 1.000]"
,,,,,,,,,,,,,,,,,,,
admiration,80,0.2,6.954,24,83,20,0.25,0.65,9.23,0.99,8.929,3.92,1.479,39,53,3,0.21,5,0.6
amusement,104,0.375,8.871,24,83,32,0.297,1.84,1.82,4.19,1.039,2.42,0.579,30,23,3,0.15,4,0.6
anger,52,0.825,3.962,5,66,40,0.3,1.45,2.47,1.7,1.404,1.78,1.716,33,56,3,1.31,1,0.6
annoyance,52,0.825,3.5,9,66,40,0.03,1.45,2.47,1.7,1.404,1.78,1.716,33,56,3,1.2,4,0.4
approval,75,0.001,8.799,24,83,11,0.249,0.84,5.33,2.29,1.031,0.48,0.947,18,26,3,0.6,30,0.509
caring,80,0.001,8.634,24,83,10,0.178,1.84,3.6,1.59,2.398,1.92,2.398,24,26,3,0.58,30,0.509
confusion,66,0.784,6.608,24,83,26,0.297,2.12,2.08,0,0,1.72,5.069,24,19,3,2.21,3,0.8
curiosity,93,0.375,7.838,24,83,15,0.249,2.47,4.05,3.72,2.93,2.84,3.389,25,23,3,2.01,3,0.758
desire,104,0.617,7.714,24,83,26,0.297,2.12,2.08,0,0,1.72,5.069,23,19,3,1.32,3,0.8
disappointment,40,0.51,5,9,35,24,0.4,0.84,5.77,4.66,0.945,0.84,3.181,16,50,1.77,1.2,6,0.5
disapproval,50,0.109,5.7,3,5,32,0.326,1.55,5.06,2.81,0.75,5.4,0.69,17,45,3,0.92,6,0.4
disgust,50,0.179,5.5,5,11,38,0.36,1.76,3.48,6.61,1.258,4.61,1.804,25,15,2.67,1,2,0.7
embarrassment,45,0.233,5,7,11,40,0.275,1.12,2.5,3.09,0.898,2.13,1.637,23,30,1.77,0.4,6,0.7
excitement,100,0.786,5,15,59,60,0.25,1.09,9.57,4.26,1.71,10,1.14,44,53,3,0.27,2,0.6
fear,40,0.896,5.164,3,5,25,0.25,1.84,4.63,3.8,2.323,1.82,1.243,13,49,3,1.44,3,0.4
gratitude,93,0.001,7.638,24,83,15,0.249,2,5.33,3.7,2.93,2.29,0.947,24,16,3,0.82,9,0.653
grief,40,0.31,5,18,11,66,0.4,1.25,8.12,1.97,1.086,0.76,4.065,16,50,3,1.13,4,0.5
joy,104,0.375,8.871,24,83,32,0.297,1.84,1.82,4.19,1.039,2.42,0.579,30,23,3,0.15,4,0.6
love,80,0.001,8.634,24,83,10,0.178,1.84,3.6,1.59,2.398,1.92,2.398,24,26,3,0.58,30,0.509
nervousness,64,0.896,3.5,10,68,16,0.318,2.03,4.63,3.35,2.323,1.82,1.243,33,54,3,1.61,4,0.4
optimism,104,0.375,8.871,24,83,15,0.297,0.5,0.74,2.57,0.2,0.71,1.261,17,23,3,0.28,8,0.6
pride,80,0.2,6.954,24,83,20,0.25,0.65,9.23,0.99,8.929,3.92,1.479,39,53,3,0.21,5,0.6
realization,93,0.001,7.638,24,83,15,0.249,2,5.33,3.7,2.93,2.29,0.947,24,16,3,0.82,9,0.653
relief,57,0.001,8.799,24,83,6,0.138,0.71,2.91,1.96,1.031,0.48,0.947,18,26,3,0.6,30,0.509
remorse,45,0.233,5,6,11,24,0.4,1.02,5.77,5.18,0.945,2.13,1.637,32,30,1.77,0.91,10,0.5
sadness,30,0.31,5,18,11,66,0.4,1.25,8.12,1.97,1.086,0.76,4.065,16,50,3,1.13,6,0.5
surprise,104,0.617,7.714,24,83,26,0.297,2.12,1.4,6,0.221,0.88,1.261,18,29,3,0.33,2,0.8
neutral,81,0.375,7.838,24,83,2,0.249,1.6,0.7,0.76,1.039,0,0,22,23,3,0,9,0.3